Patient,Avg Accuracy,Max Accuracy,Avg F1,Max F1,Avg Precision,Max Precision,Avg Recall,Max Recall,y_pred_max_recall,y_true_max_recall
1,0.22500000000000003,0.5,0.15738095238095237,0.5,0.13916666666666666,0.5833333333333334,0.22500000000000003,0.5,"[0, 1, 1, 2, 3, 2]","[0, 1, 2, 4, 3, 3]"
2,0.7357142857142855,0.8571428571428571,0.6750850340136054,0.7959183673469388,0.6367857142857142,0.75,0.7357142857142855,0.8571428571428571,"[0, 4, 0, 0, 2, 3, 0]","[0, 4, 1, 0, 2, 3, 0]"
3,0.4749999999999999,0.6666666666666666,0.41194444444444434,0.6666666666666666,0.4222222222222222,0.75,0.4749999999999999,0.6666666666666666,"[1, 1, 2, 4, 3, 1]","[0, 1, 2, 4, 3, 3]"
5,0.38,0.5,0.33775396825396825,0.51,0.3820238095238095,0.7571428571428571,0.38,0.5,"[4, 0, 3, 2, 4, 4, 1, 0, 2, 1]","[3, 1, 3, 3, 4, 4, 2, 0, 2, 0]"
6,0.39166666666666666,0.6666666666666666,0.34138888888888885,0.6388888888888888,0.37388888888888894,0.7222222222222222,0.39166666666666666,0.6666666666666666,"[0, 0, 2, 4, 3, 0]","[0, 1, 2, 4, 3, 3]"
7,0.5,0.8571428571428571,0.465,0.8666666666666668,0.4779761904761905,0.9285714285714286,0.5,0.8571428571428571,"[0, 4, 2, 1, 3, 3, 2]","[0, 4, 2, 1, 2, 3, 2]"
11,0.65,0.8333333333333334,0.591111111111111,0.8333333333333334,0.5993055555555555,0.9166666666666666,0.65,0.8333333333333334,"[0, 1, 2, 4, 1, 3]","[0, 1, 2, 4, 3, 3]"
13,0.16666666666666663,0.5,0.13333333333333336,0.3333333333333333,0.1340277777777778,0.3888888888888889,0.16666666666666663,0.5,"[3, 1, 1, 3, 3, 3]","[0, 1, 2, 4, 3, 3]"
15,0.5083333333333334,0.8333333333333334,0.4416666666666666,0.7777777777777778,0.46805555555555556,0.75,0.5083333333333334,0.8333333333333334,"[4, 1, 2, 4, 3, 3]","[0, 1, 2, 4, 3, 3]"
18,0.631818181818182,0.8181818181818182,0.5855447330447331,0.8095238095238095,0.5913852813852813,0.8409090909090909,0.631818181818182,0.8181818181818182,"[0, 2, 3, 4, 4, 3, 3, 2, 1, 0, 3]","[0, 2, 2, 4, 4, 3, 3, 1, 1, 0, 3]"
19,0.6111111111111112,0.7777777777777778,0.572089947089947,0.7777777777777778,0.5933333333333334,0.8666666666666667,0.6111111111111112,0.7777777777777778,"[0, 1, 4, 3, 0, 0, 1, 3, 0]","[2, 1, 4, 3, 0, 2, 1, 3, 0]"
